24.07004 , 14.03497,

,51.85954 , 13.64472,

,23.74721 , 13.64912,

,29.89234 , 13.73806,

,18.82228 , 13.69489,

,9.86888 , 13.99275,

,19.08402 , 13.97045,

,40.35585 , 13.74272,

,32.38258 , 14.37766,

,21.30222 , 14.54103,

,28.67023 , 14.55016,

,25.90037 , 14.75970,

,13.56026 , 14.53471,

,51.51671 , 14.04819,

,22.51011 , 14.44217,

,21.61778 , 14.40776,

,28.99476 , 14.16156,

,16.35193 , 14.31520,

,29.01503 , 13.82460,

,26.54095 , 13.49689,

,44.45337 , 13.57455,

,27.43875 , 13.68989,

,11.10366 , 13.65548,

,50.61279 , 13.52997,

,11.08351 , 13.61649,

,29.33653 , 13.68489,

,3.70912 , 13.57734,

,21.29585 , 13.56318,

,25.30620 , 13.53422,

,4.94718 , 13.53206,

,15.11427 , 13.55329,

,26.56085 , 13.55516,

,3.70825 , 13.52545,

,2.55204 , 13.56436,

,45.34639 , 13.77188,

,21.61818 , 13.46303,

,32.70096 , 13.47777,

,9.90529 , 13.49932,

,11.42865 , 13.78377,

,17.26428 , 14.12941,

,21.27455 , 13.51832,

,11.42652 , 13.37687,

,26.19693 , 13.50437,

,23.40473 , 13.47121,

,46.23565 , 14.78610,

,13.89905 , 14.47803,

,22.85346 , 14.26046,

,12.66340 , 13.72987,

,30.33242 , 14.10752,

,26.54428 , 14.14104,

,
